title,location,company,url,image_url,apply_url,ago,applicants,text,info
System Software Engineer,"Mountain View, CA",Groq,https://www.linkedin.com/jobs/view/system-software-engineer-at-groq-1995051146,https://media-exp1.licdn.com/dms/image/C560BAQGH9Bbcbk8oBw/company-logo_100_100/0?e=1606953600&v=beta&t=jePEm7YA4IlWsTG1NM1adfccZLldRT1oSlPy_JOyDEg,https://www.linkedin.com/jobs/view/externalApply/1995051146?url=https%3A%2F%2Fgroq%2Ebamboohr%2Ecom%2Fjobs%2Fview%2Ephp%3Fid%3D47&urlHash=0png&trk=public_jobs_apply-link-offsite,5 days ago,,"Groq is a machine learning systems company building easy-to-use solutions for accelerating artificial intelligence workloads. Our work spans hardware, software, and machine learning technology. We are seeking exceptional Systems Software Engineers to join our systems team. You will work closely with internal interdisciplinary teams to drive key aspects of product definition, execution and test. You must be responsive, flexible and able to succeed within an open collaborative peer environment. As a Systems Software Engineer, you will provide the interface between development platforms containing Groq devices and the host machine. This role involves working on the host PCI express driver and the supporting low level user-space libraries to provide device access functionality.

## Essential Duties And Responsibilities

  * Work within a multi-disciplinary team environment to support the development, integration, and test of production machine learning platforms
  * Work multi-functionally with other software, hardware, architecture and support teams to deliver Linux drivers, firmware, and system software for our AI platforms
  * Build tools and infrastructure to facilitate ASIC bringup and validation
  * Triage and debugging of various SW issues
  * Understanding of machine learning is desirable but not essential
  * System integration of embedded systems with Silicon, Firmware, and Software

## Qualifications

  * MS degree in Computer Science, Electrical Engineering, Computer Engineering, Mathematics, Physics or equivalent practical experience.
  * Excellent programming (C/C++) and scripting skills (Python).
  * Minimum 3 years of industrial experience in embedded software or firmware.
  * Proficiency with debugging large, complex system software.
  * Knowledge of device drivers, hardware bringup, power management, performance optimization, bootloading, hardware/software integration, PCIe driver development
  * Genuine passion for low-level system engineering and hardware/software integration
  * Experience developing and shipping low level system software for Linux

## Personal Attributes

  * Good written and oral communication skills; strong technical documentation skills
  * Highly self-motivated and directed; self-confidence and self-starter
  * Keen attention to detail
  * Proven analytical and problem-solving abilities
  * Ability to effectively prioritize and execute tasks in a high-pressure environment

Groq is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

EngineeringInformation Technology

  * ### Industries

Computer HardwareComputer SoftwareSemiconductors"
Computational Imaging Lead,"Palo Alto, CA","Essential Utilities, Inc.",https://www.linkedin.com/jobs/view/computational-imaging-lead-at-essential-utilities-inc-2016130195,https://media-exp1.licdn.com/dms/image/C4E0BAQGceoBBXelJDA/company-logo_100_100/0?e=1606953600&v=beta&t=jcPAuc728jABDKeNdQ1Ri9ENwgNTg-IyQ-tHAp-3X5o,https://www.linkedin.com/jobs/view/externalApply/2016130195?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2Ffb0f2a2b00ace56134a9ef71136d3ea5&urlHash=fNUc&trk=public_jobs_apply-link-offsite,4 weeks ago,Be among the first 25 applicants,"Essential Products is a new type of company focused on creating consumer technology products for the 21st century.

As the Computational Imaging Lead you will design and implement advanced computational photography and image processing algorithms to combine cutting- edge computational techniques with next-generation hardware. You will work with the camera hardware and software teams to realize forward looking imaging features and contribute to existing and future iterations of our products.

  * Develop the new algorithms to improve the image/video quality (SNR, color reproduction, stabilization, facial enhancements) or enable new photography features.
  * Collaborate hardware to design the pipeline architecture to enable new features.

## Qualifications

  * Masters degree and 4 years of experience, or PhD in EE/CS
  * Experience in computer vision/machine learning, image processing, or computer graphics
  * Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go
  * Experience in computational photography algorithm or ISP (3A and image restoration/enhancement algorithms) development
  * Experience in GPU or Halide programming
  * Experience in color science or subjective image quality assessment
  * Excellent communication skills

Founded by Andy Rubin, co-founder of Android, the world's most widely used operating system, Essential Products is headquartered in Palo Alto, California. For more information, please visit www.essential.com.

All your information will be kept confidential according to EEO guidelines.","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

DesignArt/CreativeInformation Technology

  * ### Industries

Information Technology and ServicesComputer SoftwareInternet"
UI UX Engineer,"Mountain View, CA","Noosh, Inc.",https://www.linkedin.com/jobs/view/ui-ux-engineer-at-noosh-inc-2015991517,https://media-exp1.licdn.com/dms/image/C4D0BAQGtdzE_02hjcA/company-logo_100_100/0?e=1606953600&v=beta&t=cwKzj-4B3YcBOlLDzlggeuMIc6xW_JOv5Xml9Y-yNIo,,2 days ago,Be among the first 25 applicants,"## About The Position

As one of our full-time designers, you will be involved in and/or own key projects from start to finish. Your design work will consist of designing elegant, innovative solutions whether it's defining a beautiful UI/UX for a pixel-perfect website, illustrating a detailed icon set, or designing logo concepts for comprehensive branding projects. You'll have the opportunity to grow with us, add insight, and make an impact on our ever-evolving processes.

## The Ideal Candidate Will Have The Following Qualifications

  * Thorough experience in designing user-interfaces for responsive cloud based enterprise web application. You should be prepared to show work in your portfolio that is similar to that in ours.
  * Versatile branding and general graphic design skills
  * The ability to work iteratively developing user flows, wireframes, and prototypes to help define the experience with your team
  * Expert proficiency in Sketch and Adobe Creative Cloud
  * Confidence in presenting your work to the team and the client, clearly communicating and defending your design decisions
  * Strong understanding of designing for enterprise applications
  * An emphasis on detail, organization, and consistency with an eagle eye for QA

## Nice-to-haves

  * Basic understanding of HTML5, CSS3 & JavaScript
  * Experience working in successful SaaS companies
  * Knowledge of SaaS, internet marketing, strategy, and SEO.

## Please Include The Following Information

  * Cover Letter
  * Resume
  * Links to samples of your work, including website addresses, and your exact contribution and role in them.
  * Your current pay expectations
  * At least 3 references
  * When you would be able to start
  * Inquiries not including all of the above will not be considered.

We look forward to hearing from you.

Noosh procurement and project management software is a SaaS solution used by strategic sourcing teams and marketing service providers to manage digital and print assets, cost structures, budgets, procurement, and team interaction using an integrated cloud-based approach. With capabilities like vendor bidding, project planning, collaboration, and machine learning, Noosh enterprise software delivers cost reductions to the overall procurement process.

Website http://www.noosh.com","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

Information Technology

  * ### Industries

Marketing and AdvertisingInformation Technology and ServicesComputer Software"
A.I. Storage Systems Software Engineer | San Diego - San Jose,"San Jose, CA",TuSimple,https://www.linkedin.com/jobs/view/a-i-storage-systems-software-engineer-san-diego-san-jose-at-tusimple-2015301867,https://media-exp1.licdn.com/dms/image/C560BAQF-VIgl-KH5PA/company-logo_100_100/0?e=1606953600&v=beta&t=Pbh9U-AvB8zDiBsmU9OyEYxuM_G1xdn_7WKAiz039eo,https://www.linkedin.com/jobs/view/externalApply/2015301867?url=https%3A%2F%2Fneuvoo%2Ecom%2Fjob%2Ephp%3Fid%3D6f6c39dc249d%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3D3deacacafdcadacd3dedgdd73aeccaad7ddecd&urlHash=0Uk1&trk=public_jobs_apply-link-offsite,3 days ago,Be among the first 25 applicants,"## Job Description

**Email resume directly here: ai_infrastructure_engineer___cloud_platform_8169ea612us@ivy.greenhouse.io**

## Company Overview

Come join a higher calling and find a deeper purpose!

As a multi-national Artificial Intelligence Technology Company, we are at the epicenter of the Autonomous Vehicle Universe. Our breakthroughs are leading the industry in autonomous trucking.

While inventing the framework of Autonomous Driving, our current fleet of autonomous Trucks are helping communities receive much-needed supplies and medical equipment around the clock. Our people are some of the most talented engineers and contributors who are leaving behind a historic legacy.

TuSimple was founded half a decade ago with the goal of bringing the top minds in the world together to achieve the dream of a driverless truck solution. With a foundation in computer vision, algorithms, mapping, and Artificial Intelligence, TuSimple is working to create the first global commercially viable autonomous truck driving platform!

## Opportunity Overview

Join a team of motivated, software engineers developing the tools and infrastructure needed to build a next generation autonomous trucking fleet. These tools and infrastructure will be used to train new machine learning models, verify and validate the autonomous driving system, and scale our autonomous fleet to production.

## Responsibilities

  * Design and implement scalable and reliable distributed storage / computation systems in the cloud to facilitate the development of self-driving vehicles.

## Qualifications

  * 1-10+ years of software engineering or architecture experience.
  * Advanced experience C++ or Go.
  * Storage Systems Software Engineering Experience (prefer Object Based Storage)
  * Highly self-motivated learner.
  * Strong system building skill & knowledge, solid understanding of Operating System and Distributed System
  * Comfortable and experienced in software development life cycle - designing, coding, debugging, optimization, testing, integration
  * MS/PhD in Computer Science or Software Engineering
  * Excellent communication skills and team collaboration

Bonus

  * Experience in Docker and Kubernetes.
  * Experienced with AWS or GCP.
  * Solid understanding of ROS.

**Perks**

  * Work with world class AI Engineers
  * Shape the landscape of autonomous driving
  * Competitive salary and benefits
  * Bonus/options/paid vacations/insurance
  * Daily breakfast, lunch, and dinner
  * Full Kitchen with unlimited snacks and fruits
  * Weekly team happy hour
  * Medical, Vision, and Dental insurance plan
  * Company 401(K) program
  * Company paid life insurance

TuSimple is an Equal Opportunity Employer. This company does not discriminate in employment and personnel practices based on race, sex, age, handicap, religion, national origin or any other basis prohibited by applicable law. Hiring, transferring and promotion practices are performed without regard to the above listed items.","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

EngineeringInformation Technology

  * ### Industries

Information Technology and ServicesComputer SoftwareInternet"
"Cell Banking Specialist, Engineered Cells","Redwood City, CA",Synthego Corporation,https://www.linkedin.com/jobs/view/cell-banking-specialist-engineered-cells-at-synthego-corporation-2012705581,https://media-exp1.licdn.com/dms/image/C4D0BAQF_QQcFPTZlAQ/company-logo_100_100/0?e=1606953600&v=beta&t=IrsgkKQVDkWS2AXv4KPywAPx_fMd2fAM2AIkwJ4clok,https://www.linkedin.com/jobs/view/externalApply/2012705581?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fsynthego%2F873f8a14-8202-4493-a038-1a7325ced2fe%2Fapply%3Flever-source%3DLinkedIn&urlHash=Ci7h&trk=public_jobs_apply-link-offsite,5 days ago,Be among the first 25 applicants,"Synthego is looking to hire a Cell Culture & Banking Specialist who would be responsible for completing and assisting with daily tasks associated with cell-related functions. Primary duties include producing various types of cells, and manufacturing final product for commercial distribution. Requirements include following, creating and updating SOPs as needed, performing daily tasks in a clean room / cGMP environment, and troubleshooting of manufacturing challenges. Follows established company rules, regulations and safety precautions, and maintains quality standards. Due to the nature of production, overtime and weekend work may be required depending on business needs.

What You'll Do

  * Performing aspects of cell-based production, including but not limited to: cell expansion, cell feeding, harvesting, counting and freezing; product seeding, labeling, intermediate formulations, and operation of robotic cell culturing system
  * Creating documentation for each task, including cleaning procedures, aseptic processing techniques, Good Manufacturing Practices (GMP) and clean room safety practices and procedures
  * Performing production-related tasks as assigned by the group lead. These tasks can include, but are not limited to, quality tasks, facilities maintenance requirements, ordering of supplies, materials, and equipment for production
  * Assist in training new and existing employees on the cell expansion manufacturing process
  * Assist in providing positive and constructive individual feedback and building teamwork

About You

  * Bachelor's in related area; Biotech Program certificate from an accredited college
  * Two (2) years' prior working experience with cell culture in a manufacturing (Biotech / Pharmaceutical) environment
  * Hands-on-experience with commonly used production concepts, practices, and procedures such as cell culture and aseptic technique, required
  * General knowledge of clean room practices and familiarity with Current Good Manufacturing Practices (cGMP) preferred
  * Must be detail-oriented with an ability to set priorities, and organize daily work requirements
  * Must be able to work as a team member and independently as required
  * Ability to perform calculations using weight measurement, volume, and distance governed by quality documents and SOPs required
  * Experience in writing and/or revising SOP's, batch records, and other Quality/Compliance related documents required
  * Ability to effectively communicate with internal and external group members by collaborating with sub-teams within manufacturing and across company
  * Effective communication and listening skills are required
  * Experience working with living human cells and various chemicals required
  * Must be able to lift 25lbs. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions

Company Benefits & Perks

  * Competitive salary
  * Generous equity at an early stage company
  * Robust medical, dental and vision benefits
  * 401k Plan
  * Fully stocked kitchen and snacks
  * Free catered lunches and dinners
  * Onsite Gym
  * Daily Shuttle bus to & from San Francisco (more locations to come)

About Us

Synthego is a genome engineering company that enables the acceleration of life science research and development in the pursuit of improved human health.

The company leverages machine learning, automation, and gene editing to build platforms for science at scale. With its foundations in engineering disciplines, the company's platforms vertically integrate proprietary hardware, software, bioinformatics, chemistries, and molecular biology to advance basic research, target validation, and clinical trials.

By providing both commercial and academic researchers and therapeutic developers with unprecedented access to cutting-edge genome engineering, Synthego is at the forefront of innovation, accelerating the development of truly engineered biology.","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

Other

  * ### Industries

Computer SoftwareBiotechnologyPharmaceuticals"
3-D Graphics / CV Engineer,"San Jose, CA",Jobspring Partners,https://www.linkedin.com/jobs/view/3-d-graphics-cv-engineer-at-jobspring-partners-2147842437,https://media-exp1.licdn.com/dms/image/C4D0BAQEmPSZnlln9ow/company-logo_100_100/0?e=1606953600&v=beta&t=tI5kRJnbrDYTzW2qoY9eyRMK4bT-fU2ElQDyUBizrjM,https://www.linkedin.com/jobs/view/externalApply/2147842437?url=https%3A%2F%2Fmotionrecruitment%2Ecom%2Ftech-jobs%2Fsan-jose%2Fdirect-hire%2F3-d-graphics-cv-engineer-%2F436764&urlHash=a0to&trk=public_jobs_apply-link-offsite,4 weeks ago,Be among the first 25 applicants,"Are you as excited about the future of drones and autonomous vehicles as we are? Do you want to work on the cutting edge of technology? Are you passionate about working in a small team and having a huge impact? If so, then we want to hear from you.

You will be joining a company in the UAV space that is building the future of autonomous flight. You will be working on commercial drones that are designed to fly close to structures and to collect imagery with high precision. Using patent-pending laser guidance technology, the drones autonomously fly to the right location and capture these precise images. This is a fast paced, growing start up looking for engineers that are passionate about robotics, UAVs, and want to be a part of the future of the industry. You will be developing and enhancing the computer vision and graphics system of the UAV.

## Required Skills

  * Bachelors Degree in Computer Science, Electrical Engineering or a related field (MS/PhD preferred)
  * 5+ years of overall development experience
  * Strong programming experience with C++, Python, Matlab
  * Strong background in computer vision, image processing, 3D graphics
  * Experience with things such as OpenGL, OpenCL, CUDA, GPU, GLSL, DirectX, PowerVR, Projective Geometry, Point Clouds
  * Experience with robotics, machine learning, visual recognition, UAVs a plus

## Benefits

401K Matching

Medical, dental, vision

Early stage equity","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

MarketingPublic RelationsWriting/Editing

  * ### Industries

Information Technology and ServicesComputer SoftwareInternet"
Software Engineer – Nomad,"Oakland, CA",HashiCorp,https://www.linkedin.com/jobs/view/software-engineer-%E2%80%93-nomad-at-hashicorp-1979392867,https://media-exp1.licdn.com/dms/image/C4E0BAQGjakzR7Gq7Gw/company-logo_100_100/0?e=1606953600&v=beta&t=araMc9hmJSerkChA6K0R24fyYARngsXlJRZEHQ08VX4,https://www.linkedin.com/jobs/view/externalApply/1979392867?url=https%3A%2F%2Fapp%2Egreenhouse%2Eio%2Fembed%2Fjob_app%3Ftoken%3D2156811%26gh_src%3Da8bc2ad21%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=19pr&trk=public_jobs_apply-link-offsite,2 weeks ago,Be among the first 25 applicants,"**Sr. Software Engineer - Nomad**

**Remote**

## About HashiCorp

At HashiCorp, we value top-notch collaboration and communication skills, both among internal teams and in how we interact with our users. We take care to balance and be responsive to the needs of our open source community as well as our enterprise level customers.

Engineering at HashiCorp is largely a remote team. While prior experience working remotely isn't required, we are looking for team members who perform well given a high level of independence and autonomy.

Our Products

We build Consul, Nomad, Vault, Terraform, Vagrant, and Packer. Alongside of that, we deploy enterprise products for each in a variety of different ways: licensed and unlicensed binaries, appliances to public cloud platforms, and hosted SaaS platforms. Our products help organizations of all sizes run any infrastructure for any application.

## About The Role

Our team builds and maintains Nomad, a performant, distributed cluster orchestrator that supports heterogeneous workloads including containerized applications, VMs, batch processing, and machine learning frameworks. Jet.com, CircleCI, PagerDuty, SeatGeek, and many other large organizations run Nomad in production today.

Our customers run Nomad on tens of thousands of nodes, and rely on our tools to operate their own infrastructure and software. Our team cares deeply about reliability and performance.

## Some Of The Future Challenges For Our Team Include

  * Building an extensible plugin architecture to support and grow an ecosystem of plugins for shared concerns like runtime drivers, devices and logging.
  * Advanced scheduling use cases such as managing dependencies between tasks, oversubscription and rebalancing.
  * Service segmentation and enabling shared network namespaces among tasks.
  * Deployments across a large fleet of nodes spanning multiple regions.
  * Debugging and inspection capabilities for tasks.
  * Monitoring and predicting resource utilization.

Much of our work and libraries are open source. Nomad and its supporting libraries are written in **Go**.

## In This Role, You Can Expect To

  * Work on next-generation distributed systems for orchestration
  * Develop novel algorithms within the context of our open source tools
  * Build and architect systems for managing extremely large-scale global fleets of resources
  * Interface directly with internal teams, users and HashiCorp customers, as well as the Nomad community
  * Own the full lifecycle of feature development from design through testing and release
  * Program in Golang, learning from and contributing to a team committed to continually improving their skills

**You may be a good fit for our team if:**

  * You have a basic understanding of cluster orchestrators and schedulers (Borg, Kubernetes, Mesos etc).
  * You have experience in a lower-level language like **Go**
  * You enjoy designing systems for managing highly reliable infrastructure
  * You have experience with container technologies: CGroups, Docker, Rocket, etc.
  * You are comfortable with low-level programming, or are excited to learn.
  * You have prior experience working in high performance or distributed systems; while we strive to hire at a variety of experience levels, this particular opening is not well-suited for recent graduates
  * You are able to knowledgeably discuss design and performance tradeoffs in complex systems
  * You exhibit ownership in your work, including research and understanding of the problem space, collaborating with the team to come up with solutions, proactively communicating your progress to the team, and shipping the feature over the finish line.

**In your cover letter, please describe why you're interested in working at HashiCorp, and on the Nomad team in particular. Specifics of your past experience that are relevant to this role are great to include too.**

HashiCorp embraces diversity and equal opportunity. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. We believe the more inclusive we are, the better our company will be.","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

EngineeringInformation Technology

  * ### Industries

Information Technology and ServicesComputer SoftwareInternet"
"Software Engineer in Test/QA Engineer - Analytics and Data Services - Columbia, SC","San Mateo, CA",Guidewire Software,https://www.linkedin.com/jobs/view/software-engineer-in-test-qa-engineer-analytics-and-data-services-columbia-sc-at-guidewire-software-1985287441,https://media-exp1.licdn.com/dms/image/C4D0BAQE0vBd_0rDBjg/company-logo_100_100/0?e=1606953600&v=beta&t=Bz-Iuds7qZ2HkBIy5_z0mdXTfroMPQ4D5BEneSyQ-jY,https://www.linkedin.com/jobs/view/externalApply/1985287441?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fguidewire%2Fbc92f0d3-331e-4f4f-847d-a80b1494ef2c%2Fapply%3Flever-source%3DLinkedIn&urlHash=Rdf4&trk=public_jobs_apply-link-offsite,1 week ago,Be among the first 25 applicants,"Do you have experience in helping build high quality and scalable data- processing pipelines and data applications? Are you a strong coder with a passion for quality? Are you interested in shaping & contributing to new products and frameworks?

Guidewire Software is looking for an experienced engineer with a passion for quality and automating tests. The enthusiastic candidate will be ready to join a tight knit team and start or continue a career helping to improve and verify quality of some of the latest technologies around Machine Learning and Artificial Intelligence. A successful candidate will have the ability to work independently while having a collaborative disposition. Experience working in an agile development environment is a big plus.

**What You Would Do**

Design and develop tools and services that measure and maintain performance, reliability, resilience, security and quality

Work with other developers to develop best practices for improving quality aspects of their services and applications

Build sophisticated and maintainable automated test suites to test our universe of services and applications

Author test plans and track test runs for new features, regression test existing large scale data processing and analytics products

Plan for, organize and execute tests to verify functionality of specified product features

Assist in building cloud-based infrastructure to automate and scale data processing solutions

Resolve issues with minimal supervision after a brief preliminary training

**Basic Qualifications**

  * 3 years minimum of progressive post-baccalaureate experience in Quality Assurance or Test Automation Engineering
  * Experience with functional testing, planning and coordination
  * 2 years minimum of experience in two of the following testing toolsets/frameworks:Selenium WebDriver, Appium, Protractor, SoapUI

Minimum Skills/Education/Experience that this position requires:

  * Excellent written and oral communication, presentation and interpersonal skills
  * Experience using development environment
  * Ability to ask questions and share information gained with other support team members, recording and documenting this knowledge
  * Experience using source control
  * Development with C# or Java
  * Testing REST services
  * Bachelors Degree or equivalent work experience (12 years) or an Associate's Degree with 6 years of experience

**Bonus Qualifications**

  * Linear Algebra/Statistics understanding
  * JavaScript frameworks such as AngularJS and React JS
  * Data Visualization
  * Amazon Web Services (AWS) exposure
  * Cloud application deployment

About Guidewire

Guidewire is the platform P&C insurers trust to engage, innovate, and grow efficiently.

Guidewire combines core, data, digital, analytics, and AI to deliver our platform as a cloud service. 380 insurers, including the largest and most complex in the world, run on Guidewire.

As a partner to our customers, we continually evolve to enable their success. We are proud of our unparalleled implementation track record with 700+ successful projects, supported by the largest R&D team and partner ecosystem in the industry. Our marketplace provides hundreds of add-ons that accelerate integration, localization, and innovation.","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

Quality Assurance

  * ### Industries

Information Technology and ServicesComputer SoftwareFinancial Services"
Registered Dietitian,"Walnut Creek, CA",DayTwo,https://www.linkedin.com/jobs/view/registered-dietitian-at-daytwo-2005470605,https://media-exp1.licdn.com/dms/image/C560BAQEI5lKJuSLU7A/company-logo_100_100/0?e=1606953600&v=beta&t=JgVHi4P-jvCh12mdWU9WqPblOVH-f2ltXC_i2CCCMVU,https://www.linkedin.com/jobs/view/externalApply/2005470605?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fdaytwo%2Fe27b72da-ee64-4d6d-8f0c-eb8f75997846%2Fapply%3Flever-source%3DLinkedIn&urlHash=ijcZ&trk=public_jobs_apply-link-offsite,2 weeks ago,Be among the first 25 applicants,"DayTwo is the first company to safely and sustainably balance blood sugar, lower A1C, and reduce weight using food as medicine and leveraging the profile of a patient's gut-microbiome, without the use of medications or surgery. Our data science and digital tools combined with our clinical expertise are shifting the diabetes treatment paradigm from management to remission.

The Registered Dietitian at DayTwo is a vital part of our team providing individual or group training, diabetes education, and follow-up for all clients and members. As a member of our growing team, you'll work directly with type 2 diabetes patients by providing a food-as-medicine approach to manage glucose levels and improve overall health. You will help shape the approach and practice of our program both in person and in a virtual setting.

**Your Impact**

  * Provide education and coaching virtually (including video, phone, texting, etc.) to assist Type 2 Diabetes patients in implementing an individualized nutrition & care plan using DayTwo's personalized nutrition data
  * Support patients with food logging and continuous glucose monitoring (CGM) to manage glucose levels
  * Collaborate with the DayTwo Chief Medical Officer and member primary care physician in a detailed, timely, and effective manner to address member status changes (communicate medication changes and other physician recommendations to patients)
  * Empathize, connect, and partner with patients to ensure personal success and sustainability using various counseling techniques including, but not limited to motivational interviewing and patient-centered goal setting.
  * Monitor and evaluate training data to improve the overall program
  * Participates in activities that promote and expand the reputation and the services of DayTwo's Programs
  * Collaborate cross-functionally with Enrollment, Operations, and Product Teams to provide feedback and communicate coaching best practices
  * Partner with our existing dietitians to learn and understand the entire member experience, from enrollment to daily member care and long-term member success
  * Shadow current dietitians and learn how to successfully perform member onboarding calls and day to day member care
  * Learn and understand what key performance indicators (KPIs) are used to track dietitian performance and how your day to day work impacts those metrics

**You Will Love This Job If You**

  * 3+ years of experience of direct diabetes and clinical experience or diabetes education center or diabetes care focused medical center
  * Ability to work one full weekend per month and 1-2 holidays per year.
  * Prior experience working with patients directly in the following areas: outpatient nutrition counseling, motivational interviewing, using and/or implementing various behavior change techniques, health coaching, health counseling, mental health counseling, etc (strongly preferred).
  * Outstanding verbal and written communication skills with the ability to utilize diverse modes of communication. Ability to adapt communication style to suit different audiences such as patients, teammates, customers, and scientific professionals.
  * Comfortable using various digital platforms and a remote delivery model in a rapidly changing environment; technology literacy is a must!
  * Unquestionable integrity, no ego, responsible, independent, and highly self-motivated
  * High EQ and empathy with the ability to work with different personalities through times of change
  * Willing to travel as required
  * Bachelor's Degrees Registered Dietitian (RD)
  * BONUS: Certified Diabetes Care & Education Specialist (CDCES)
  * Understanding of HIPAA regulations, and strict adherence to patient privacy","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

Health Care Provider

  * ### Industries

Computer SoftwareInternetHospital & Health Care"
Autonomous Truck Operations Specialist (CDL),"Palo Alto, CA",Aurora,https://www.linkedin.com/jobs/view/autonomous-truck-operations-specialist-cdl-at-aurora-1985288437,https://media-exp1.licdn.com/dms/image/C560BAQGVeC79KxXVkw/company-logo_100_100/0?e=1606953600&v=beta&t=HEAYodQTeux8DwAF-zDXkLfbJb6gMSIi-B59ss3iyXg,https://www.linkedin.com/jobs/view/externalApply/1985288437?url=https%3A%2F%2Faurora%2Etech%2Fjobs%2F4837031002%3Fgh_jid%3D4837031002&urlHash=PPa4&trk=public_jobs_apply-link-offsite,2 weeks ago,Be among the first 25 applicants,"## Aurora Overview

Bringing self-driving vehicles to our roads is the most transformative opportunity of our generation. Aurora is taking a fresh start with the development of self-driving technology, combining excellence in AI, rigorous engineering, and a team with decades of experience building robots that work.

Led by a team of seasoned experts, our mission is to deliver the benefits of self-driving technology safely, quickly, and broadly. We are designing the software and hardware to power the transportation of our future that will make our roads safer, give more people access to mobility, and reduce congestion and pollution in cities - improving the quality of life for all. The challenge in what we are endeavoring to achieve is transcendent; we are developing perhaps the world's most complex computing system and asking it to perform the task of transporting and keeping safe our most precious asset: human life.

Aurora hires people who are excited to build the future of transportation. This candidate will be as excited as we are to solve these complex problems and make this tremendous impact on our future, and wants to be surrounded by great people while you do it. The Class A Driver will optimize operations for thousands of tests to ensure safety and provide valuable feedback to engineers that improves our product.

## Responsibilities

  * Ensuring the safe operation of autonomous semi trucks.
  * Complete driving reports, procedures, and tests in order to collect data to improve the technology.
  * Thoroughly understand how our self driving technology works in the operations of large trucks.
  * Stay on top of countless daily changes, both big and small.
  * Safely operate test trucks for up to 10 hours a day to evaluate and help improve our technology.
  * Build processes & systems to facilitate efficient development on our on-road test platforms.
  * Share detailed feedback on our technology & top priorities with engineers and managers.
  * Be the voice of Aurora to self-driving enthusiasts & curious onlookers.

## Requirements

  * Valid U.S. driver's license and clean driving record with 0 violation points required.
  * Valid Class - A Commercial Driver License with air brake endorsement.
  * Meets driver requirements, including driving record and criminal history, under applicable regulations and laws in the state \(s) in which the Autonomous Truck Operations Specialist will be working.
  * Safety first focus.
  * Comply with Aurora's policy regarding the use of alcohol and drugs by vehicle operators, which includes pre-employment, post-incident, and randomized drug testing.
  * Flexibility for day, night, and/or weekend work, not always planned far in advance. Overtime is required.
  * Your office is the vehicle. Expect to spend at least 80% of your time in our vehicles.
  * Exceptional critical thinking.
  * Hunger for new knowledge and experience.
  * Ability to monitor alpha software on a laptop and type in a moving vehicle for extended periods of time.
  * Attention to detail and strong communication skills, both verbal and written.
  * Experience in compliance and understanding of federal, state, and municipal trucking regulations.
  * In-depth knowledge of specialized transportation equipment.

**Desirable**

  * Proven record of success thriving in a team setting.
  * Graduate of a certified semi truck driving school.
  * Truck driver trainer or instructor experience.
  * Extensive experience traveling and being on the road.
  * 5-10 years experience testing and or commercially driving trucks.
  * 2-4 years experience in operations, technology, robotics, or automotive field. Does not need to be direct industry experience.
  * Passion for trucks and/or semi truck maintenance experience.
  * Expertise in vehicle technology -- for instance, EV and/or Electric Trucks, personal or academic technology integration projects.
  * Diesel / Semi truck technician experience.

**Working at Aurora**

Our work has real purpose. Delivering self-driving will improve lives around the world, expanding access to transportation, revitalizing cities, giving people more time back every day.

We're one team. We're inspired by the challenge of what we're solving and the impact our work will have on society. Our camaraderie is built on respect for our work and the fundamental belief our success will be a result of working together.

**The Founding Team**

Aurora has assembled the most experienced leadership team in the space. Chris Urmson helped lead Carnegie Mellon's efforts in Darpa's Grand Challenges, then was a founding member of Google's self-driving team. Sterling Anderson developed MIT'S Intelligent CoPilot, then led the team that delivered Tesla Autopilot. Drew Bagnell, also a Carnegie Mellon alum, is a machine learning expert who helped build Uber's autonomy effort. At Aurora, these three continue to bring experts from all areas of the industry to the team. We are funded by Amazon, T Rowe Price, and some of Silicon Valley's best venture capital firms, including Sequoia, Greylock and Index Ventures.","* ### Seniority level

Entry level

  * ### Employment type

Full-time

  * ### Job function

ManagementManufacturing

  * ### Industries

Electrical/Electronic ManufacturingComputer SoftwareAutomotive"
